 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12
1	1487.273	1292.529	2000.975	1221.667	1760.944	1018.049	1672.812	2124.917	1690.350	754.630	960.186	2222.135
2	1388.023	1359.843	1825.150	1144.185	1959.593	943.951	1547.844	1988.900	1653.775	735.852	913.884	2152.459
3	1297.318	1321.686	1639.400	1076.870	2062.519	867.390	1430.031	1793.917	1511.150	646.556	836.302	2049.216
4	1205.477	1245.294	1502.925	994.185	2041.519	793.585	1363.969	1673.683	1402.475	607.444	774.605	1876.514
5	1144.136	1261.196	1404.125	961.648	2023.444	770.000	1314.781	1608.750	1371.600	588.444	769.884	1824.649
6	1272.500	1423.667	1382.825	949.593	2049.148	795.781	1306.062	1603.400	1358.125	594.704	764.395	1852.000
7	1510.114	1758.078	1347.075	975.407	2246.333	838.756	1343.438	1567.567	1390.550	605.518	787.744	1866.838
8	1757.614	1769.569	1422.500	1007.833	2295.704	858.195	1488.062	1545.583	1395.525	615.333	780.140	1833.000
9	2098.273	1678.843	1401.875	966.852	2310.167	806.000	1521.688	1545.350	1380.775	631.259	788.953	1869.703
10	2202.409	1691.843	1341.625	977.556	2171.815	790.756	1425.125	1580.150	1374.700	613.852	774.535	1910.676
11	2061.023	1717.902	1359.325	1043.204	1994.907	831.537	1397.469	1689.850	1397.900	615.037	785.302	1944.297
12	1925.659	1717.608	1373.525	1112.685	1830.796	910.341	1382.250	1685.033	1427.600	598.963	800.419	2017.297
13	1871.045	1792.157	1425.825	1240.778	1784.611	916.000	1422.469	1781.550	1485.625	634.000	881.791	2170.243
14	1716.500	1820.588	1424.725	1257.130	1695.981	967.732	1425.562	1744.383	1430.025	632.963	925.581	2227.108
15	1576.500	1695.392	1312.000	1144.704	1563.278	903.634	1351.312	1651.783	1350.325	628.815	878.116	2104.487
16	1722.273	1722.843	1307.375	1121.333	1809.167	988.024	1342.844	1826.417	1432.875	630.333	894.233	2073.919
17	2894.409	1740.765	1726.150	1107.648	1712.981	814.122	972.250	2802.200	1616.650	637.963	975.372	2985.108
18	3252.182	1805.471	1805.650	1178.111	1756.759	846.146	1064.250	2977.717	1770.375	661.444	1145.837	3041.297
19	3019.727	1686.922	1829.850	1180.981	1631.870	811.902	1028.844	2873.300	1991.050	689.296	1192.140	3017.838
20	3612.591	1707.647	1676.500	1441.759	1867.815	1136.195	1847.625	2361.833	2141.250	810.556	1675.698	2314.946
21	3713.250	1758.843	1862.425	1992.537	1960.648	1287.610	2507.312	2116.133	2259.525	944.556	1897.953	2141.487
22	3708.955	1793.922	1926.850	2013.944	1854.796	1316.951	2440.125	2134.200	2273.300	885.926	1824.605	2330.487
23	3674.227	1759.804	1910.675	1968.963	1672.944	1216.829	2255.500	2157.083	2181.800	924.556	1778.047	2412.108
24	3671.818	1800.078	1975.150	2087.519	1680.630	1224.415	2452.062	2056.933	2221.850	912.185	2040.884	2378.351
25	3624.045	1865.647	2081.950	2334.574	1820.111	1234.317	2725.562	2037.000	2224.075	945.963	2127.791	2301.081
26	3535.500	1716.902	2022.825	2070.463	1644.407	1171.341	2382.062	2224.250	2098.000	917.148	2151.698	2451.000
27	3456.250	1627.529	2002.350	1845.148	1533.889	1128.634	2225.219	2244.683	1981.975	883.482	1907.581	2591.703
28	3393.432	1538.078	1925.625	1723.389	1455.741	1076.829	2068.312	2416.550	1900.950	831.000	1753.442	2608.757
29	3231.636	1468.353	1862.525	1663.630	1323.111	1052.634	1976.188	2348.433	1735.350	768.815	1597.930	2599.784
30	3160.591	1377.294	1801.525	1594.222	1252.241	991.756	1901.719	2357.733	1667.175	754.852	1453.930	2499.054
31	3127.409	1354.235	1758.025	1540.648	1324.204	944.390	1897.438	2363.967	1654.800	735.407	1373.163	2460.919
32	3384.568	1836.471	1873.575	1589.130	3232.685	1029.781	2008.250	2419.083	2434.550	810.444	1453.023	2773.649
33	3508.068	2094.510	1802.125	1570.852	3803.111	1166.854	1916.406	2308.483	2647.075	866.593	1434.140	2822.027
34	3401.364	1918.431	1655.025	1459.667	3780.648	1144.561	1854.594	2106.067	2361.900	780.296	1291.116	2698.838
35	3263.523	1759.314	1549.200	1378.130	3720.204	1039.756	1791.156	1892.733	2092.900	714.518	1118.581	2547.811
36	3088.000	1547.000	1447.950	1301.111	3611.130	952.610	1628.875	1714.417	1837.750	638.482	1022.628	2375.108
37	2847.318	1397.275	1341.750	1215.500	3438.963	876.439	1523.156	1580.700	1690.375	595.741	927.814	2166.054
38	2604.545	1273.020	1291.825	1147.278	3306.167	808.805	1436.438	1492.250	1549.025	581.667	851.442	1972.865
39	2333.295	1189.353	1235.375	1043.944	3145.111	766.463	1373.438	1393.050	1393.075	545.482	790.302	1841.027
40	2149.477	1120.863	1206.800	1021.074	3241.944	797.244	1306.031	1328.083	1322.800	534.111	750.465	1778.432
41	2014.182	1089.980	1180.000	984.241	3461.741	845.463	1277.094	1323.800	1303.275	539.630	753.256	1789.081
42	1956.114	1206.882	1214.075	981.667	3622.537	919.976	1216.656	1306.000	1274.350	543.482	732.302	1749.486
43	1862.795	1231.431	1178.975	989.278	3578.722	924.000	1164.344	1304.433	1289.325	552.148	742.837	1756.081
44	1806.727	1251.902	1218.800	1012.500	3455.333	873.219	1124.312	1252.850	1286.425	552.741	720.279	1746.703
45	1691.864	1177.471	1216.475	1019.111	3275.944	854.049	1122.469	1251.733	1263.650	569.037	715.884	1712.946
46	1515.886	1130.412	1279.325	1068.648	3034.500	824.122	1105.281	1285.367	1315.100	558.259	727.953	1697.892
47	2136.114	1393.686	1700.350	1194.593	2730.130	1068.707	1080.156	2646.000	1567.150	693.482	1050.767	2322.108
48	2928.318	1683.882	2221.975	1360.852	2560.574	1190.732	1256.844	3492.167	1822.550	1988.259	2137.256	2903.568
